name	color
水手藍	#00477D
鋼藍	#4682B4
愛麗絲藍	#F0F8FF
岩灰	#708090
亮岩灰	#778899
道奇藍	#1E90FF
礦藍	#004D99
湛藍	#007FFF
韋奇伍德瓷藍	#5686BF
亮鋼藍	#B0C4DE
鈷藍	#0047AB
灰丁寧藍	#5E86C1
矢車菊藍	#6495ED
鼠尾草藍	#4D80E6
暗嬰兒粉藍	#003399
藍寶石色	#082567
國際奇連藍	#002FA7
蔚藍	#2A52BE
品藍	#4169E1
暗礦藍	#24367D
極濃海藍	#0033FF
天青石藍	#0D33FF
幽靈白	#F8F8FF
薰衣草紫	#E6E6FA
長春花色	#CCCCFF
午夜藍	#191970
藏青	#000080
暗藍	#00008B
中藍	#0000CD
藍色	#0000FF
紫藤色	#5C50E6
暗岩藍	#483D8B
岩藍	#6A5ACD
中岩藍	#7B68EE
木槿紫	#6640FF
紫丁香色	#B399FF
中紫紅	#9370DB
紫水晶色	#6633CC
淺灰紫紅	#8674A1
纈草紫	#5000B8
礦紫	#B8A1CF
藍紫	#8A2BE2
紫色	#8B00FF
靛色	#4B0080
暗蘭紫	#9932CC
暗紫	#9400D3
三色堇紫	#7400A1
錦葵紫	#D94DFF
優品紫紅	#E680FF
中蘭紫	#BA55D3
淡紫丁香色	#E6CFE6
薊紫	#D8BFD8
鐵線蓮紫	#CCA3CC
李紫	#DDA0DD
亮紫	#EE82EE
紫紅	#800080
暗洋紅	#8B008B
洋紅	#FF00FF
品紅	#FF00FF
蘭紫	#DA70D6
淺珍珠紅	#FFB3E6
陳玫紅	#B85798
淺玫瑰紅	#FF66CC
中青紫紅	#C71585
玫瑰紅	#FF0DA6
紅寶石色	#CC0080
山茶紅	#E63995
深粉紅	#FF1493
火鶴紅	#E68AB8
淺珊瑚紅	#FF80BF
暖粉紅	#FF69B4
勃艮第酒紅	#470024
尖晶石紅	#FF73B3
胭脂紅	#E6005C
淺粉紅	#FFD9E6
樞機紅	#990036
薰衣草紫紅	#FFF0F5
灰紫紅	#DB7093
櫻桃紅	#DE3163
淺鮭紅	#FF8099
緋紅	#DC143C
粉紅	#FFC0CB
亮粉紅	#FFB6C1
殼黃紅	#FFB3BF
茜紅	#E32636
鐵灰色	#625B57
褐色	#A52A2A
蕃茄紅	#FF6347
赭黃	#A0522D
蕃木瓜色	#FFEFD5
亮檸檬绿	#CCFF00
鮮绿色	#00FF00
普鲁士藍	#003153
鋼青色	#4682B4
紫羅蘭色	#8B00FF
梅紅色	#DDA0DD
洋玫瑰紅	#FF0DA6
