name	color
黑色	#000000
昏灰	#696969
灰色	#808080
暗灰	#A9A9A9
銀色	#C0C0C0
亮灰色	#D3D3D3
庚斯博羅灰	#DCDCDC
白煙色	#F5F5F5
白色	#FFFFFF
雪色	#FFFAFA
沙棕	#E6C3C3
玫瑰褐	#BC8F8F
亮珊瑚色	#F08080
印度紅	#CD5C5C
啡色	#A52A2A
耐火磚紅	#B22222
栗色	#800000
暗紅	#8B0000
鮮紅	#E60000
紅色	#FF0000
柿子橙	#FF4D40
霧玫瑰色	#FFE4E1
鮭紅	#FA8072
腥紅	#FF2400
番茄紅	#FF6347
暗鮭紅	#E9967A
珊瑚紅	#FF7F50
橙紅	#FF4500
亮鮭紅	#FFA07A
朱紅	#FF4D00
黃土赭	#A0522D
熱帶橙	#FF8033
駝色	#A16B47
杏黃	#E69966
椰褐	#4D1F00
海貝色	#FFF5EE
鞍褐	#8B4513
巧克力色	#D2691E
燃橙	#CC5500
陽橙	#FF7300
粉撲桃色	#FFDAB9
沙褐	#F4A460
古銅色	#B87333
亞麻色	#FAF0E6
蜜橙	#FFB366
秘魯色	#CD853F
烏賊墨色	#704214
赭色	#CC7722
陶坯黃	#FFE4C4
橘色	#F28500
暗橙	#FF8C00
古董白	#FAEBD7
日曬色	#D2B48C
硬木色	#DEB887
杏仁白	#FFEBCD
那瓦霍白	#FFDEAD
萬壽菊黃	#FF9900
番木瓜色	#FFEFD5
灰土色	#CCB38C
卡其色	#996B1F
鹿皮鞋色	#FFE4B5
舊蕾絲色	#FDF5E6
小麥色	#F5DEB3
桃色	#FFE5B4
橙色	#FFA500
花卉白	#FFFAF0
金菊色	#DAA520
暗金菊色	#B8860B
咖啡色	#4D3900
茉莉黃	#E6C35C
琥珀色	#FFBF00
玉米絲色	#FFF8DC
鉻黃	#E6B800
金色	#FFD700
檸檬綢色	#FFFACD
亮卡其色	#F0E68C
灰金菊色	#EEE8AA
暗卡其色	#BDB76B
含羞草黃	#E6D933
奶油色	#FFFDD0
象牙色	#FFFFF0
米黃色	#F5F5DC
亮黃	#FFFFE0
亮金菊黃	#FAFAD2
香檳黃	#FFFF99
芥末黃	#CCCC4D
月黃	#FFFF4D
橄欖色	#808000
鮮黃	#FFFF00
黃色	#FFFF00
苔蘚綠	#697723
亮檸檬綠	#CCFF00
橄欖軍服綠	#6B8E23
黃綠	#9ACD32
暗橄欖綠	#556B2F
蘋果綠	#8CE600
綠黃	#ADFF2F
草綠	#99E64D
草坪綠	#7CFC00
查特酒綠	#7FFF00
葉綠	#73B839
嫩綠	#99FF4D
明綠	#66FF00
鈷綠	#66FF59
蜜瓜綠	#F0FFF0
暗海綠	#8FBC8F
亮綠	#90EE90
灰綠	#98FB98
常春藤綠	#36BF36
森林綠	#228B22
檸檬綠	#32CD32
暗綠	#006400
綠色	#008000
孔雀石綠	#22C32E
薄荷綠	#16982B
青瓷綠	#73E68C
碧綠	#50C878
綠松石綠	#4DE680
鉻綠	#127436
蒼色	#A6FFCC
海綠	#2E8B57
中海綠	#3CB371
薄荷奶油色	#F5FFFA
春綠	#00FF80
孔雀綠	#00A15C
中春綠色	#00FA9A
中碧藍色	#66CDAA
碧藍色	#7FFFD4
青藍	#0DBF8C
水藍	#66FFE6
綠松石藍	#33E6CC
綠松石色	#30D5C8
亮海綠	#20B2AA
中綠松石色	#48D1CC
亮青	#E0FFFF
淺藍	#E0FFFF
灰綠松石色	#AFEEEE
暗岩灰	#2F4F4F
鳧綠	#008080
暗青	#008B8B
青色	#00FFFF
水色	#00FFFF
暗綠松石色	#00CED1
軍服藍	#5F9EA0
孔雀藍	#00808C
嬰兒粉藍	#B0E0E6
濃藍	#006374
亮藍	#ADD8E6
灰藍	#7AB8CC
薩克斯藍	#4798B3
深天藍	#00BFFF
天藍	#87CEEB
亮天藍	#87CEFA
