name	color	
Abricot	#E67E30
Absinthe	#7FDD4C
Acajou	#88421D
Aigue-marine	#79F8F8
Aile de corbeau (cheveux)	#000
Albâtre	#FEFEFE
Alezan (chevaux)	#A76726
Amande	#82C46C
Amarante	#91283B
Ambre jaune	#F0C30
Ambre rouge	#AD390E
Améthyste	#884DA7
Anthracite	#303030
Aquilain (chevaux)	#AD4F9
Ardoise	#5A5E6B
Argent	#CECECE
Argent (héraldique)[1]	#FFFFFF
Argile	#EFEFEF
Asperge	#7BA05B
Aubergine	#37028
Auburn (cheveux)	#9D3E0C
Aurore	#FFCB60
Avocat	#56823
Azur	#07FFF
Azur (héraldique)	#1E7FCB
Azur brume	#F0FFFF
Azur clair	#74D0F1
Azurin	#A9EAFE
Baillet (chevaux vieilli)	#AE642D
Banane	#D1B66
Basané (teint)	#8B6C42
Beige	#C8AD7F
Beige clair	#F5F5DC
Beigeasse (péjoratif)	#AFA77B
Beurre	#F0E36B
Beurre frais	#FFF48D
Bis	#766F64
Bis (héraldique)	#F1E2BE
Bisque	#FFE4C4
Bistre	#856D4D
Bitume	#4E3D28
Blanc	#FFFFFF
Blanc cassé	#FEFEE2
Blanc d'argent (pigment) ou de plomb	#FEFEFE
Blanc d'Espagne (pigment)	#FEFDF0
Blanc de lait	#FBFCFA
Blanc de Meudon ou de Troyes (pigment)	#FEFDF0
Blanc de zinc (pigment)	#F6FEFE
Blanc lunaire	#F4FEFE
Blé	#E8D630
Blet	#5B3C11
Bleu acier	#3A8EBA
Bleu barbeau ou bleuet	#5472AE
Bleu canard	#48B9A
Bleu céleste	#26C4EC
Bleu charrette	#8EA2C6
Bleu ciel	#77B5FE
Bleu de cobalt (pigment)	#22427C
Bleu de minuit	#03366
"Bleu de Prusse (pigment)	 de Berlin ou bleu hussard"	#24445C
Bleu des mers du sud	#0CCCB
Bleu dragée	#DFF2FF
Bleu électrique	#2C75FF
Bleu fumée	#BBD2E1
Bleu givré	#80D0D0
Bleu guède	#56739A
Bleu Klein	#02FA7
Bleu Majorelle	#6050DC
Bleu nuit	#0F56B
Bleu outremer	#1B19B
Bleu paon	#67790
Bleu Persan	#660FF
Bleu pétrole	#1D4851
Bleu primaire en synthèse additive	#00FF
Bleu roi ou de France	#318CE7
Bleu turquin	#425B8A
Blond vénitien (cheveux)	#E7A854
Blond (cheveux)	#E2BC74
Bordeaux	#6D71A
Bourgogne	#6B0D0D
Bouton d'or	#FCDC12
Brique	#842E1B
Bronze	#614E1A
Brou de noix	#3F224
Brun (cheveux)	#5B3C11
Brun clair (cheveux)	#CD853F
Bureau	#6B5731
Byzantin	#BD33A4
Byzantium	#702963
Caca d'oie	#CDCD0D
Cacao	#614B3A
Cachou	#2F1B0C
Cæruléum	#357AB7
Café	#462E1
Café au lait	#785E2F
Cannelle	#7E5835
Capucine	#FF5E4D
Caramel	#7E330
Carmin	#96018
